,index,ViewData.Ticker
0,ESU1,203
1,TPU1,171
2,XPU1,145
3,VGU1,133
4,KMU1,124
5,XUN1,48
6,BOZ1,46
7,YMU1,39
8,TWTQ1,38
9,HIQ1,36
10,ADU1,34
11,QZQ1,32
12,STU1,27
13,CFQ1,26
14,IBQ1,23
15,NIU1,22
16,BCU1,20
17,XUQ1,20
18,ESU1 Index,20
19,YMU1 Comdty,18
20,HIN1,17
21,ZBM2,16
22,KRSU1,15
23,XMU1,15
24,COX1,15
25,NIU1 Index,15
26,IHQ1,14
27,GXU1,14
28,XBU1,13
29,COX1 Comdty,13
30,IBQ1 Index,13
31,ZBM2 Comdty,11
32,HCQ1,11
33,GXU1 Index,11
34,TWTN1,10
35,COU1,10
36,TWTN1 Index,9
37,KAAU1,9
38,UXQ1,9
39,BOZ1 Comdty,9
40,Z U1,9
41,IKQ1,9
42,XMU1 Comdty,8
43,,8
44,XPU1 Index,7
45,HOU1,7
46,SMU1,7
47,COZ1,6
48,RTYU1 Index,6
49,IKQ1 Index,6
50,COZ1 Comdty,6
51,IHN1,6
52,W U1,6
53,TYU1,6
54,UXN1,6
55,ADU1 Curncy,5
56,SIU1,5
57,S X1,5
58,SMZ1,5
59,IRU2 Comdty,5
60,HOU1 Comdty,5
61,AIU1,5
62,CLU1,5
63,HCQ1 Index,5
64,S X1 Comdty,5
65,QZQ1 Index,5
66,FVSU1,4
67,KRSU1 Index,4
68,PTU1,4
69,ECU1,4
70,BCU1 Index,4
71,UXQ1 Index,4
72,XBU1 Comdty,4
73,NGU21,3
74,KEU1,3
75,JYU1,3
76,NGU1 21 Comdty,3
77,TYU1 Comdty,3
78,TPU1 Index,3
79,CFQ1 Index,3
80,STU1 Index,3
81,Z U1 Index,3
82,CLU1 Comdty,3
83,G U1,3
84,UXN1 Index,3
85,ENQ1,2
86,EOQ1,2
87,NQU1 Index,2
88,XBX1,2
89,NOU1 Index,2
90,THB,2
91,AIU1 Index,2
92,CVU1 Comdty,2
93,IRU2,2
94,COV1 Comdty,2
95,FVSQ1,2
96,NOU1,2
97,FVSU1 Index,2
98,RTYM1,2
99,LHV1,2
100,VGU1 Index,2
101,COV1,2
102,USU1 Comdty,2
103,XBX1 Comdty,2
104,BTCJ1 Curncy,2
105,W U1 Comdty,2
106,ENQ1 Comdty,1
107,LHZ1,1
108,LCZ1,1
109,GCZ1,1
110,CLV1 Comdty,1
111,FVU1,1
112,LHQ1 Comdty,1
113,IHM1,1
114,FVU1 Comdty,1
115,QSU1 Comdty,1
116,JBU1 Comdty,1
117,SMN1,1
118,HIN1 Index,1
119,UXU1,1
120,CLV1,1
121,QSU1,1
122,KUQ1,1
123,LTYU1 Comdty,1
124,OATU1,1
125,UXU1 Index,1
126,JYU1 Curncy,1
127,USU1,1
128,LCV1,1
129,SXOU1 Index,1
130,HIU1 Index,1
