Row Labels,Count of InternalComment2
Caceis External Management Fee booked at Caceis. To be posted in Integrata.,1020
Collateral management booked at Caceis. Integrata to book the same,125
Derivatives fee booked at Caceis. Integrata to book the same.,333
External Distribution fee booked at Caceis. Integrata to book the same,1356
External management fee booked at Caceis. Integrata to book the same,9605
Fees booked at Caceis. integrata to book the same,2174
FROC payment booked at Caceis. Integrata to book the same,9630
FX  wire posted at Caceis. Integrata to book the same,26
FX to be settled at Integrata,13026
FX wire posted at Caceis. Integrata to book the same,1508
Interest to be posted at Integrata.,5292
"Mandatory Corporate action to be booked in Integrata for SD 07-30,Facturation fee booked in Caceis. To be booked in Integrata,Transfer wire to be booked in Integrata,Mandatory corporate action booked at Caceis, Integrata yet to book,FX wires booked in Caceis. To be booked in Integrata,Collateral management feeds booked at Caceis . Integrata to book the same,Transfer wire booked at Caceis. Integrata to book the same,Mandatory corporate action booked at Caceis, Integrata yet to book ,Integrata yet to reflect the trade proceeds for S.D 08/14,Month end Interest for Sep'19 booked in CACEIS. To be booked in Integrata,DERIVATIVES TRN FEES booked to be booked in Integrata,Transfer wire to be posted in Integrata,Up/Down between PB and Feeder account,Caceis booked cancellation for 07-30 trade . lombard to advise,Mandatory Corporate action to be booked in Integrata for SD 04-05,Integrata to be booked for SD 04/05.,Caceis yet to reflect the trade proceeds for S.D 08/13,Mandatory Corporate action to be booked in Integrata for SD 08-01,Month end Interest for Aug'19 booked in CACEIS. To be booked in Integrata,Integrata yet to reflect the trade proceeds for S.D 08/15,Integrata yet to process the trade settlement proceeds for the SD of 08-26.,Difference in Dividend booked between Integrata and Caceis. Integrata booked in CAD however caceis is booked in USD currency,Integrata booked DVD in CAD ccy , Where as CACEIS booked in USD ccy,Difference in dividend booked between Integrata and Caceis. Integrata booked in USD, However caceis is reflecting in CAD,Integrata yet to process the trade settlement proceeds for the SD of 08-12.",250
Month  end Interest booked in Caceis. To be booked in Integrata,104
Month end Interest booked in Caceis. To be booked in Integrata,789
Month end Interest posted at Caceis. Integrata to book the same,224
Month end Interest to be posted at Integrata,1009
Net Sub/Red - booked in Integrata. Caceis to book the same,13
Net Sub/Red posted at Integrata. Caceis to book the same,565
Redemption posted at Integrata. Caceis to book the same.,339
Redemption posted at Integrata. Caceis to booked the same,339
Redemption to be booked in Caceis,78
Transfer  wire to be posted in Integrata,13
Transfer wire to be posted at Integrata,6284
Transfer wire to be posted in Integrata,3496
Transfer wire to posted at Integrata,2
Wire to be posted at Caceis,52
Grand Total,57652
